Longitude,Latitude
10.6000935,55.0001048
10.5993696,54.9995311
10.598774544739795,54.999059418085785
10.598774544739795,54.999704729846535
10.5992922,54.9995602
10.5993271,54.9995485
10.5993696,54.9995311
10.598774544739795,54.99769377443176
10.5988397,54.9976968
10.598932,54.9977035
10.5990141,54.99771
10.5992025,54.9977296
10.599366,54.997749
10.5994309,54.997754
10.5995079,54.9977563
10.599579,54.9977555
10.5996532,54.9977512
10.5997345,54.9977431
10.5998079,54.9977323
10.5998794,54.9977201
10.5999612,54.9977033
10.6000363,54.9976832
10.6000991,54.9976636
10.6001728,54.9976361
10.6002592,54.9975962
10.6003446,54.9975511
10.6005834,54.9974202
10.6006492,54.9973876
10.6007166,54.9973579
10.6007796,54.9973335
10.6008486,54.9973089
10.6009111,54.9972891
10.6009855,54.9972682
10.6010565,54.9972517
10.6011184,54.9972392
10.6011812,54.9972276
10.6012694,54.9972157
10.6009052,55.0018274
10.6014129,55.0017338
10.6016638,55.0016863
10.6017981,55.0016588
10.6018707,55.0016424
10.6019433,55.0016241
10.6019591,55.0016189
10.6019891,55.001608
10.6012694,54.9972157
10.6013723,54.9972016
10.6014065,54.9971965
10.6016849,54.9971556
10.6018183,54.9971364
10.598774544739795,54.997525084033065
10.5990618,54.9974691
10.5991249,54.9974577
10.5991589,54.9975233
10.5991706,54.9975462
10.5991759,54.9975584
10.5991733,54.9975658
10.5991665,54.9975714
10.5991552,54.9975773
10.5990559,54.9976296
10.5990442,54.9976375
10.599034,54.9976479
10.5992742,54.9975097
10.5992558,54.9974632
10.599347,54.9974135
10.5993964,54.9973952
10.5994354,54.9973831
10.5994827,54.9973692
10.599523,54.9973581
10.5995496,54.9973518
10.5995762,54.9973476
10.5996045,54.9973455
10.5996761,54.9973461
10.5997418,54.9973493
10.5998631,54.9973582
10.5999729,54.9973646
10.5999921,54.9973648
10.600021,54.9973613
10.6000783,54.9973509
10.6001282,54.9973438
10.6002808,54.9973197
10.6004207,54.9974014
10.6004513,54.9973964
10.6004744,54.997393
10.6004958,54.9973913
10.6005242,54.9973914
10.6005397,54.9973961
10.6005834,54.9974202
10.599523,54.9973581
10.5994377,54.9970596
10.599386,54.9968629
10.5998631,54.9973582
10.5998026,54.9971791
10.5997469,54.9970226
10.599347,54.9974135
10.5992266,54.9970854
10.5991873,54.9968752
10.5997418,54.9973493
10.5996402,54.9970365
10.5996315,54.9970084
10.5994354,54.9973831
10.5993256,54.9970733
10.5992869,54.9968692
10.5996045,54.9973455
10.5995228,54.9970786
10.5999729,54.9973646
10.5998892,54.9971667
10.5999712,54.9971549
10.5998892,54.9971667
10.5998658,54.99717
10.5998026,54.9971791
10.5998658,54.99717
10.5998047,54.9970157
10.6004534,54.9973735
10.600311,54.9973374
10.600297,54.997332
10.6002873,54.9973262
10.6002808,54.9973197
10.6001861,54.997156
10.6014065,54.9971965
10.6013229,54.9968961
10.601254,54.9967039
10.6011545,54.9967039
10.6009958,54.9967315
10.6009717,54.9967526
10.601031,54.9968842
10.6011812,54.9972276
10.6011706,54.997173
10.601185,54.9971307
10.6013037,54.9971215
10.6013723,54.9972016
10.5998918,54.997004
10.5998047,54.9970157
10.5997469,54.9970226
10.5996402,54.9970365
10.5995617,54.9970463
10.5992558,54.9974632
10.5991318,54.997097
10.5991139,54.997027
10.5990982,54.9969563
10.5990889,54.9969011
10.5990954,54.9968878
10.5991218,54.9968803
10.5991873,54.9968752
10.5992869,54.9968692
10.599386,54.9968629
10.5994626,54.9968588
10.5995768,54.9968529
10.5997821,54.9968425
10.5998049,54.9968456
10.5998174,54.9968548
10.5998918,54.997004
10.5999712,54.9971549
10.6000783,54.9973509
10.6032151,54.9969376
10.6031007,54.9967079
10.6030915,54.9966798
10.6030934,54.9966475
10.6031012,54.9966194
10.6031126,54.9965906
10.6031357,54.9965516
10.6031494,54.9965317
10.6031705,54.9965152
10.603195,54.9965008
10.6032282,54.9964901
10.6032686,54.9964793
10.6034979,54.9964433
10.6038688,54.9968435
10.6038195,54.9967436
10.6038067,54.9967238
10.6037895,54.9967067
10.6037645,54.996694
10.6037371,54.996687
10.6037065,54.9966825
10.6036718,54.9966838
10.6036371,54.9966884
10.6036102,54.9966968
10.6035843,54.9967108
10.6035686,54.996727
10.6035584,54.9967428
10.6035572,54.9967612
10.603563,54.9967797
10.6036124,54.9968809
10.6025728,54.9974796
10.6027778,54.9974475
10.602819,54.9974373
10.6028584,54.9974209
10.6028972,54.9974002
10.6029304,54.9973778
10.602955,54.9973595
10.6029684,54.997344
10.6029758,54.9973251
10.6029785,54.9973057
10.602975,54.9972889
10.6029664,54.997267
10.6028794,54.9970977
10.6028333,54.9969921
10.60643803655278,55.005129849380864
10.6059572,55.0047481
10.6019891,55.001608
10.6013962,55.001135
10.6003364,55.0002973
10.6007115,55.001926
10.600741,55.0019138
10.6007765,55.0018967
10.6008107,55.0018789
10.6008495,55.001855
10.6007115,55.001926
10.6006446,55.0019502
10.6005958,55.0019636
10.6005468,55.0019753
10.6004924,55.0019856
10.6004474,55.0019919
10.6004019,55.0019956
10.6003294,55.0020004
10.6002631,55.0020078
10.6002174,55.0020152
10.6000283,55.0020605
10.5999561,55.002078
10.6003464,55.0013488
10.6003642,55.0013512
10.6007736,55.0012898
10.6013534,55.0011521
10.6013691,55.0011471
10.6013962,55.001135
10.6018183,54.9971364
10.602327,54.9970646
10.6028333,54.9969921
10.6032151,54.9969376
10.6036124,54.9968809
10.6038688,54.9968435
10.6056629,54.9965908
10.6058467,54.9965708
10.6060504,54.9965551
10.6062662,54.9965435
10.60643803655278,54.99653847327816
10.6035794,54.998859
10.6044552,54.9990379
10.6045504,54.9990583
10.6056486,54.9993149
10.6058657,54.9993622
10.6060121,54.999393
10.6061794,54.9994236
10.60643803655278,54.999467998628624
10.6035794,54.998859
10.6035534,54.9988588
10.6035225,54.9988673
10.603493,54.9988827
10.6034662,54.9989065
10.6028627,54.9996927
10.6028493,54.9997189
10.6028359,54.9997542
10.6028319,54.9997965
10.6028319,54.9998312
10.602852,54.9998665
10.6028748,54.9999019
10.6029083,54.9999342
10.6029794,54.9999989
10.603025,55.0000289
10.60308,55.0000604
10.603139,55.0000835
10.6032114,55.0001058
10.6032811,55.0001235
10.6033804,55.0001465
10.6036392,55.0001927
10.6038484,55.0002319
10.6038967,55.000235
10.6039571,55.0002304
10.6003364,55.0002973
10.6002306,55.0002135
10.6000935,55.0001048
10.6003238,54.9974169
10.6004207,54.9974014
10.5992742,54.9975097
10.5993637,54.9974994
10.5993822,54.9974972
10.5993966,54.9974954
10.5994061,54.9974942
10.5993637,54.9974994
10.5993822,54.9974972
10.5993966,54.9974954
10.5993809,54.9974481
10.5993815,54.9974419
10.5993866,54.9974354
10.5993954,54.99743
10.5994096,54.9974261
10.5994695,54.997415
10.5994695,54.997415
10.5994849,54.9974114
10.5994921,54.9974079
10.5994939,54.9974033
10.5994827,54.9973692
10.6005242,54.9973914
10.6004534,54.9973735
10.6001861,54.997156
10.6001733,54.9971452
10.6001554,54.9971382
10.6001296,54.9971368
10.6001047,54.9971393
10.5994717,54.997056
10.5994377,54.9970596
10.5993256,54.9970733
10.5992266,54.9970854
10.5991318,54.997097
10.5995099,54.9970268
10.5994626,54.9968588
10.5994838,54.9970706
10.5994758,54.9970638
10.5994717,54.997056
10.5994719,54.9970482
10.5994761,54.9970408
10.599484,54.9970344
10.5994947,54.9970296
10.5995099,54.9970268
10.5995215,54.9970263
10.5995352,54.9970283
10.5995472,54.9970326
10.5995563,54.9970388
10.5995617,54.9970463
10.599563,54.9970536
10.5995606,54.9970609
10.5995549,54.9970675
10.5995462,54.9970729
10.5995352,54.9970767
10.5995228,54.9970786
10.5995085,54.9970783
10.5994951,54.9970756
10.5994838,54.9970706
10.6008495,55.001855
10.6008739,55.001837
10.6008882,55.0018312
10.6009052,55.0018274
10.602327,54.9970646
10.6024415,54.9972986
10.6024157,54.9973915
10.6024504,54.997468
10.6024576,54.997477
10.6024694,54.9974833
10.6024852,54.997488
10.6024976,54.9974888
10.6025136,54.9974886
10.6025728,54.9974796
10.5991589,54.9975233
10.5991249,54.9974577
10.5991136,54.9974331
10.5991004,54.9974029
10.5990368,54.9972606
10.599034,54.9976479
10.5990269,54.9976596
10.599022,54.9976763
10.5990141,54.99771
10.5991589,54.9975233
10.5992221,54.9975159
10.5992742,54.9975097
10.600021,54.9973613
10.6000361,54.9974077
10.6000426,54.9974314
10.6000444,54.9974484
10.6000384,54.9974673
10.6000289,54.9974799
10.600013,54.9974915
10.599992,54.9975009
10.5999667,54.9975064
10.5996502,54.9975416
10.5993216,54.9975775
10.5992904,54.9975431
10.5992836,54.9975322
10.5992742,54.9975097
10.5993216,54.9975775
10.5993474,54.9976058
10.5993592,54.9976179
10.5993728,54.9976315
10.5993849,54.9976426
10.5994062,54.9976559
10.5994268,54.9976664
10.5994434,54.9976714
10.599468,54.9976736
10.5995004,54.9976727
10.5995448,54.9976668
10.599586,54.99766
10.6001284,54.9975655
10.6000968,54.9975065
10.6000817,54.9974997
10.6000619,54.9974969
10.6000385,54.9974974
10.6000271,54.9974965
10.600013,54.9974915
10.5991706,54.9975462
10.5992324,54.9975385
10.5992836,54.9975322
10.599614,54.996958
10.5995768,54.9968529
10.5996315,54.9970084
10.5996292,54.9970027
10.5996354,54.9969957
10.5996394,54.9969891
10.5996395,54.9969832
10.5996343,54.9969761
10.5996268,54.9969705
10.599616,54.9969642
10.599614,54.996958
10.5996292,54.9970027
10.599617,54.9970035
10.5996048,54.9970028
10.5995902,54.9969965
10.599585,54.9969896
10.599584,54.9969822
10.5995884,54.9969735
